,RW5%,RNE5%,FF5%,RN5%,RW10%,RNE10%,FF10%,RN10%,RW15%,RNE15%,FF15%,RN15%,RW20%,RNE20%,FF20%,RN20%
0,"[0.4294398436134686, 0.42418640047844086, 0.4253932725500013, 0.4242091440745765, 0.41715814547347146]","[0.6473309947958876, 0.6476152715254475, 0.6530322831810471, 0.6467454854872194, 0.6462697562188002]","[0.24698918338345294, 0.25170967648034065, 0.27354036895778205, 0.2849375265672757, 0.2461726565328714]","[0.51447593675277, 0.5133201738654374, 0.5198945881765025, 0.490881897661607, 0.504948004862686]","[0.40346870584310784, 0.3971984249718577, 0.4035518004244026, 0.4030193946602228, 0.39633421537350927]","[0.6300847909744887, 0.6283808132417845, 0.6298065959231889, 0.6258077790452725, 0.6317014591859351]","[0.17299981719085217, 0.17926699883428404, 0.18281637059548228, 0.18755275794973475, 0.18801419265672376]","[0.4253924688945711, 0.44164550293459964, 0.4216600748197796, 0.43989279112208596, 0.4362644472832276]","[0.38298055045661233, 0.3837614307216383, 0.38799711458344616, 0.3797623772431717, 0.3851253812645164]","[0.6171299044628218, 0.616158128954688, 0.6190763299584352, 0.6188957178497292, 0.6152830037032431]","[0.17739842631846053, 0.17973441111188193, 0.18458210384414525, 0.17521410231516465, 0.17152616650871688]","[0.39609156619584623, 0.37837825614174064, 0.3755224697379244, 0.39306989248914354, 0.394251605043441]","[0.3709796843642961, 0.36662491923891233, 0.37117490327568453, 0.3694467699470371, 0.36701536399097995]","[0.602293001433988, 0.6037114362737983, 0.6043548883244461, 0.6043054056013293, 0.604611422079286]","[0.18513641424462113, 0.18409329338324953, 0.18788922445388212, 0.19253782323467472, 0.18566369749566902]","[0.3483189677150434, 0.3571645890119484, 0.3578785260101612, 0.3531926013537032, 0.3472619709200088]"
1,"[0.5499031852807449, 0.5388097205051025, 0.5392149689212835, 0.546932205283848, 0.5455023442214566]","[0.8872516450274627, 0.886317258669934, 0.8886302555007782, 0.888139806208759, 0.8875311943049836]","[0.2642551048244747, 0.2833610768103553, 0.2690550679016317, 0.2621866496701394, 0.2585845772223282]","[0.638778817214582, 0.6471750221299603, 0.6654201342644194, 0.661434540353559, 0.6548979740829501]","[0.5336433493472208, 0.5285305103518136, 0.5297092878372169, 0.5313239773916114, 0.5244904299058543]","[0.8766029654588731, 0.875978906026148, 0.8753988278410889, 0.8750679529101901, 0.8769302743176025]","[0.29941480664858056, 0.29156563405183966, 0.3107595732651127, 0.29691405553052286, 0.2955967465510163]","[0.5778093612751593, 0.6049933880810473, 0.572378218771544, 0.5797339070258094, 0.5583909550755356]","[0.5200204313617828, 0.5165961834787669, 0.5194245902984671, 0.520777230149782, 0.5220587533528901]","[0.8627582007687709, 0.8631033167034377, 0.8643864522749957, 0.861546853657646, 0.8648381987011715]","[0.30309045560963754, 0.31213098439232645, 0.29356719450548574, 0.3081811799218711, 0.3076515908226076]","[0.47321596974998514, 0.4876082939572546, 0.46150160224132264, 0.4452929530065888, 0.514264976498285]","[0.508821394086746, 0.5078188641615796, 0.5082893247097735, 0.5091669980746323, 0.5081052183468955]","[0.8512742499587244, 0.8509363681679669, 0.8501446159175864, 0.8485667522071128, 0.8487594412891949]","[0.31028890047700863, 0.31474063961621346, 0.3130926591866884, 0.30646252333177304, 0.3155706256332491]","[0.46767588244370595, 0.4347122564557845, 0.4394174101803807, 0.4541878821295128, 0.4267444519070699]"
2,"[0.3838620689655172, 0.37466666666666665, 0.45483870967741935, 0.3632542372881356, 0.46820338983050847]","[0.46282926829268295, 0.5008780487804878, 0.464, 0.5213333333333333, 0.49142857142857144]","[0.992, 0.992, 0.992, 0.992, 0.992]","[0.616, 0.45466666666666666, 0.4552727272727273, 0.4706666666666667, 0.46916129032258064]","[0.38133333333333336, 0.308, 0.34410126582278483, 0.3084878048780488, 0.328]","[0.4232592592592593, 0.4283636363636364, 0.4054901960784314, 0.4410980392156863, 0.4398490566037736]","[0.492, 0.992, 0.992, 0.992, 0.992]","[0.4524444444444444, 0.34550943396226413, 0.39476923076923076, 0.408, 0.395921568627451]","[0.3095652173913043, 0.3108433734939759, 0.32907317073170733, 0.2924651162790698, 0.3361860465116279]","[0.366, 0.3506206896551724, 0.34933333333333333, 0.3333793103448276, 0.3704918032786885]","[0.37182089552238806, 0.3647567567567568, 0.3811764705882353, 0.37522222222222223, 0.3461818181818182]","[0.4035714285714286, 0.4206153846153846, 0.3508148148148148, 0.37071186440677967, 0.3740689655172414]","[0.261360824742268, 0.29191836734693877, 0.29148514851485147, 0.3271208791208791, 0.33853061224489794]","[0.3056507936507937, 0.2891594202898551, 0.3026086956521739, 0.3183098591549296, 0.27319402985074626]","[0.3017021276595745, 0.312, 0.2887422680412371, 0.3101935483870968, 0.33295652173913043]","[0.34421917808219177, 0.32822535211267606, 0.37885714285714284, 0.3461818181818182, 0.3784126984126984]"
3,"[0.4815819209039548, 0.4592337164750958, 0.5147169811320754, 0.45318996415770607, 0.5578947368421052]","[0.9911111111111112, 0.9911111111111112, 0.9911111111111112, 0.9911111111111112, 0.9911111111111112]","[0.5978378378378378, 0.6305555555555555, 0.6023529411764705, 0.5231944444444444, 0.6196825396825397]","[0.9111111111111111, 0.9288888888888889, 0.9555555555555556, 0.9022222222222223, 0.9511111111111111]","[0.4326726726726727, 0.4088888888888889, 0.4333986928104575, 0.4127777777777778, 0.41491628614916287]","[0.9866666666666667, 0.9866666666666667, 0.9911111111111112, 0.9911111111111112, 0.9911111111111112]","[0.5069320066334991, 0.532991452991453, 0.5053399668325042, 0.5110457516339869, 0.4973856209150327]","[0.8444444444444444, 0.88, 0.8622222222222222, 0.8666666666666667, 0.8663492063492063]","[0.40305555555555556, 0.39271317829457364, 0.37281045751633984, 0.3767049808429119, 0.41079365079365077]","[0.9911111111111112, 0.9866666666666667, 0.9911111111111112, 0.9822222222222222, 0.9911111111111112]","[0.37374570446735395, 0.36444444444444446, 0.37714975845410625, 0.3526388888888889, 0.34339869281045754]","[0.7195238095238096, 0.7555555555555555, 0.6977777777777778, 0.7419444444444444, 0.8133333333333334]","[0.33156462585034013, 0.3341843971631206, 0.3529749103942652, 0.36180555555555555, 0.32722832722832723]","[0.9866666666666667, 0.9866666666666667, 0.9822222222222222, 0.9866666666666667, 0.9866666666666667]","[0.28547008547008546, 0.30777777777777776, 0.31825545171339564, 0.3411111111111111, 0.29494949494949496]","[0.6202020202020202, 0.6, 0.6438888888888888, 0.6454970760233918, 0.6518181818181819]"
4,"[362722, 355500, 350090, 348762, 360540]","[661, 554, 661, 700, 649]","[331835, 281082, 324619, 336947, 325091]","[2038, 1969, 1788, 1798, 1694]","[810628, 840169, 828361, 822900, 838134]","[3083, 3132, 2979, 3122, 2904]","[746586, 807638, 642824, 742127, 728667]","[9907, 8339, 10140, 8960, 7758]","[1364082, 1294618, 1325595, 1295497, 1381244]","[8407, 7984, 7978, 7551, 8954]","[1157681, 1160848, 1203199, 1135886, 1243715]","[22840, 23328, 27417, 23209, 21995]","[1880575, 1828767, 1887348, 1805880, 1934596]","[16604, 15102, 17661, 16901, 17297]","[1414773, 1525268, 1407574, 1313741, 1419035]","[52546, 53957, 46339, 49860, 56769]"
5,"[44443, 49417, 51014, 43160, 53793]","[0, 0, 0, 0, 0]","[46981, 44558, 42641, 46455, 43730]","[284, 57, 93, 80, 84]","[128214, 114452, 122485, 112726, 123821]","[0, 0, 0, 0, 0]","[101125, 95849, 98257, 95148, 92502]","[1942, 914, 903, 1284, 1164]","[276144, 198992, 226838, 229899, 218765]","[0, 0, 0, 0, 0]","[122095, 111425, 115071, 115519, 121411]","[6670, 7277, 8471, 6817, 4661]","[319300, 328757, 411261, 333212, 346202]","[0, 0, 0, 2, 4]","[136091, 137991, 123279, 128361, 140041]","[16958, 20898, 15552, 22454, 21349]"
6,"[0.12453266149139548, 0.13039878711178204, 0.1288119325325727, 0.1227326534597094, 0.1237568040523961]","[0.00010648115283594804, 0.00015734431194397124, 0.0, 3.656928481234579e-05, 0.0]","[0.17951994255729964, 0.16755313921183476, 0.1671714837845175, 0.17491917887766908, 0.16968546183015012]","[0.12827252277745266, 0.14757554705933848, 0.10442785000860369, 0.10696939549531728, 0.11352576886597106]","[0.13831132658747894, 0.1382077660742894, 0.14223101692455142, 0.13721333115023626, 0.14197899252423765]","[5.324057641797402e-05, 0.000210070262562167, 0.0, 0.00014197501213941818, 0.00017676458679267276]","[0.1852046646936887, 0.18352968018609833, 0.18106590722343477, 0.18478195482283802, 0.1786746215248763]","[0.1727939092326368, 0.1977976557216357, 0.18058297766952644, 0.1772954068805168, 0.18611311867161337]","[0.14460842214322117, 0.14478207177163976, 0.1475730263845146, 0.14506932314144882, 0.14229565185512627]","[0.00024278949696658443, 0.0005543697148529846, 0.00040854023573691966, 0.00018743841223903694, 0.00030032347254393705]","[0.18874209406989595, 0.18055529842988174, 0.18447558052172333, 0.1843597730154981, 0.1898233644488392]","[0.22897109218263548, 0.23098506019707052, 0.24274113845509843, 0.2301018230650471, 0.2123284932660359]","[0.1519637468925166, 0.15044420252644464, 0.15005652538850153, 0.15369295917091447, 0.1526653589488783]","[0.0005757395920565926, 0.000736739045372776, 0.0007715670425173951, 0.0006484302951526676, 0.0007185217745239411]","[0.18187116029300715, 0.18485268402395827, 0.17907312890453195, 0.18136920794726746, 0.1848727979830132]","[0.23874115688525577, 0.2646121532787669, 0.24043184726281588, 0.22926665036748847, 0.25298491428324466]"
